Sorting algorithm - Bubble Sort
Sorted 100 elements in 0.25ms (avg)
Sorted 500 elements in 0.35ms (avg)
Sorted 1000 elements in 0.55ms (avg)
Sorted 2000 elements in 1.9ms (avg)
Sorted 5000 elements in 10.2ms (avg)
Sorted 10000 elements in 43.9ms (avg)
Sorted 20000 elements in 304.5ms (avg)
Sorted 75000 elements in 5805.9ms (avg)
Sorted 150000 elements in 25085.5ms (avg)

Sorting algorithm - Insertion Sort
Sorted 100 elements in 0.65ms (avg)
Sorted 500 elements in 1.35ms (avg)
Sorted 1000 elements in 1.2ms (avg)
Sorted 2000 elements in 1.8ms (avg)
Sorted 5000 elements in 3.3ms (avg)
Sorted 10000 elements in 14.65ms (avg)
Sorted 20000 elements in 51.05ms (avg)
Sorted 75000 elements in 718.0ms (avg)
Sorted 150000 elements in 2850.6ms (avg)

Sorting algorithm - Quick Sort
Sorted 100 elements in 0.2ms (avg)
Sorted 500 elements in 0.25ms (avg)
Sorted 1000 elements in 0.0ms (avg)
Sorted 2000 elements in 0.1ms (avg)
Sorted 5000 elements in 0.35ms (avg)
Sorted 10000 elements in 0.5ms (avg)
Sorted 20000 elements in 0.95ms (avg)
Sorted 75000 elements in 4.1ms (avg)
Sorted 150000 elements in 8.75ms (avg)

Sorting algorithm - Selection Sort
Sorted 100 elements in 0.2ms (avg)
Sorted 500 elements in 0.15ms (avg)
Sorted 1000 elements in 0.4ms (avg)
Sorted 2000 elements in 1.45ms (avg)
Sorted 5000 elements in 9.3ms (avg)
Sorted 10000 elements in 37.4ms (avg)
Sorted 20000 elements in 153.5ms (avg)
Sorted 75000 elements in 2118.85ms (avg)
Sorted 150000 elements in 8931.85ms (avg)

Sorting algorithm - Shell Sort
Sorted 100 elements in 0.05ms (avg)
Sorted 500 elements in 0.25ms (avg)
Sorted 1000 elements in 0.7ms (avg)
Sorted 2000 elements in 0.6ms (avg)
Sorted 5000 elements in 0.65ms (avg)
Sorted 10000 elements in 1.15ms (avg)
Sorted 20000 elements in 1.75ms (avg)
Sorted 75000 elements in 7.8ms (avg)
Sorted 150000 elements in 16.75ms (avg)

Sorting algorithm - Merge Sort
Sorted 100 elements in 0.1ms (avg)
Sorted 500 elements in 0.2ms (avg)
Sorted 1000 elements in 0.55ms (avg)
Sorted 2000 elements in 0.9ms (avg)
Sorted 5000 elements in 2.0ms (avg)
Sorted 10000 elements in 1.55ms (avg)
Sorted 20000 elements in 2.2ms (avg)
Sorted 75000 elements in 8.2ms (avg)
Sorted 150000 elements in 16.35ms (avg)
